review_title,review_text,review_star,review_date,page
When you want a flagship buy a Samsung not some fruit.,"I have observed some display color density issues with written words as i scroll the pages.The words become thick and darker as you touch the screen ,becoming normal as you remove finger touch from phone.This is very irritating, giving headache.I have observed this thing for the first time in a Samsung flagship. There are no such issues with my Note 10 plus.I have seen this issue with some cheap phones,but for God sake this is the flagship from Samsung,with this price you expect nothing but perfection.I have put a return/replacement request,so some technician will visit and see my phone.I will let you all know the result of this inspection ,whether he tries to solve the problem or pushes me to accept the phone by accepting the inconvenience.Update 1-The technician was very cordial,listened to my complaints and made a report,on the basis of which my replacement request has been accepted.Great experience!I will update my star ratings again after i receive the replacement.Update 2- I received the replacement and it is working perfectly fine.My final review is here now.Amazon delivery and problem solving 5/5The Seller Appario retail 5/5Phone looks and display 10/5Performance 5/5Battery 4/5Camera 5/5I have updated my star ratings to 5/5 now.This phone is a thing of beauty!",5.0 out of 5 stars,Reviewed in India on 14 March 2022,1
Best android phone till date,"The phone is awesome among all Android phone..Since I paid this much I though a comparison with iPhone 13 pro max will be worth doing..In comparison to iPhone I would say the battery is a bit disappointing, performance is almost same but iPhone was a little faster and was cooler comparatively..Camera is better than iPhone but nighttime photos weren't so good and video quality is worse than iPhone I must say..But overall it's a wonderful phone..I mean you can literally feel how awesome it is..I think it is a must android device..",5.0 out of 5 stars,Reviewed in India on 13 March 2022,1
Totally worth it,"Totally worth the price and as they say, it's a note worthy phone <U+0001F4F1>",5.0 out of 5 stars,Reviewed in India on 12 March 2022,1
Cheap USB cable quality,Cable quality worth of 50 Rupees. Even after market cable quality is too good. Never expect from this Samsung,2.0 out of 5 stars,Reviewed in India on 13 March 2022,1
A true Android Flagship,"For anyone who wants the complete android experience, and does not mind shelling out a premium for the same, you can't get any better than this. The S22 Ultra is Samsung's answer to the ""Complete Flagship Package"". There maybe phones out there that excel in one area or another, but this mobile is so good at everything, it is hard to compare it to anything out there as a total package. The camera is other wordly, the display is beyond beautiful. Overall, I would highly suggest the S22 Ultra to anyone upgrading from a 3-4 year old device, looking for the complete, premium Android experience.",5.0 out of 5 stars,Reviewed in India on 13 March 2022,1
Top class device,It's an awesome device with wonderful display. Everything with this phone seems fluid and fast. A worthy upgrade to my OnePlus 7T. OneUI rocks and I am not missing Oxygen OS experience,5.0 out of 5 stars,Reviewed in India on 17 March 2022,1
The complete package,"The S22 Ultra is easily the most powerful and versatile Android phone on the market right now.From the gorgeous crisp display to the ridiculously stunning camera & haptics, every small feature, is as good as it gets!Right off the bat, the build quality feels premium and I've been a fan of the minimalist camera cutouts from the start, even though it does gather some dust...Coming to the S-pen, originally I thought it would be a ""good to have"" gadget, which I'd forget about eventually, but BOY was I wrong...The ability to take notes is a nifty feature for sure, but it doesn't end there.... From air gestures to smart select to translate, its honestly insane how much this small tool can accomplish, and I haven't even scratched the surface of its capabilities.The performance from Snapdragon 8 gen 1 (rather than the Exynos) is unbeatable.I wasn't a fan of One UI in the past but I am surprised at how much they've managed to polish it up with One UI 4.Plus, if you want to customize your phone even further, make sure you install the Good Lock app by Samsung, it opens up a whole new world for the tinkerers like me :)The only gripe I have is with the battery. Its not the best out there, but considering the performance you're getting in return, its more than fair to cut it some slack.All in all, yes, its pricey. But, you get what you pay for, which in this case is an unrivalled beast of a premium flagship phone ;)",5.0 out of 5 stars,Reviewed in India on 15 March 2022,1
Best of the best,"I am very happy with this phone , everything's is perfact and i also sell my old phone vivo x70 pro plus ( one month old ) and purchase samsung s22 ultra pre-order with offer . Trusted Brand with promising future update and Value for money..... love it.... very happy.",5.0 out of 5 stars,Reviewed in India on 28 March 2022,10
Surprisingly horrendous camera!,Horrible camera that produces washed out pics. The pic with the more vibrant colours and brightness was clicked with an iPhone 11 and the one with pale colours and sad looking pic is from tthe S22 ultra....what a waste of money!,2.0 out of 5 stars,Reviewed in India on 28 March 2022,10
THE KING OF KINGS,"i bought S22 ultra from offline market the prize of 105000 after exchanging my screen broken samsung S9 plus, i got the charger free of cost 45W rupees 3999/-,, playing the phone from last 3 days , no lag guys ,,, super screen , call of duty works very well . camera is awesome, s pen so many uses , for editing photos erasing background objects etc .. no issue to say ,, finger scan ultra fast , face unlock is best in class .ZoooM of the camera is unbelievable.. . must buy ..",5.0 out of 5 stars,Reviewed in India on 26 March 2022,10
Android at it peak,Android can’t get better than thisDisplay is beyond amazing,5.0 out of 5 stars,Reviewed in India on 5 April 2022,10
Purchasé mâkes sense in many Angles<U+0001F44C>,Pros :* Display (everyone knows))<U+2764>* <U+0001F4F7> (Top in the league)* Build quality (Topnotch)* UI ( Impressive... smooth experience)* performance : <U+0001F4AA>...heating are there especially in Indian conditions but phone manages to cool down quickly also maintains stable temperature..Cons :* Battey life can be improved (hope future updates will fix this)* Fingerprint sensor works perfectly but after applying screen protector feels some difficulties.. (choose perfect screen protector)Overall ( Tier 1)<U+0001F525>,5.0 out of 5 stars,Reviewed in India on 29 March 2022,10
Beast - Better than iPhone,"Overall best phone, better than iPhone in many terms. Just need few enhancements on the software side like app locks, home screen, dual apps (except chat apps).",5.0 out of 5 stars,Reviewed in India on 6 April 2022,10
The best of all premium phones.,"Fingerprint reader should be more fast. But it is O K. All features are very good. The camera zoom is incredible, beyond the limit.",5.0 out of 5 stars,Reviewed in India on 8 April 2022,10
Truly Ultra To Rule Every Other Phone - Epitome of Innovation,"The media could not be loaded. This is truly the best phone money can buy, especially if you are already in the Android ecosystem. The S22 Ultra is an amped-up Galaxy Note with a faster S Pen built in, lots of camera improvements, a brighter display and faster charging.This is a stellar phone overall. S Pen is more responsive, as Samsung made it 70% faster with less latency.Galaxy S22 Ultra's biggest upgrades come with its cameras, as Samsung is shooting to overtake the iPhone 13 Pro Max and Google Pixel 6 Pro as the best camera phone.Key features I love:Best phone display yet: The Galaxy S22 Ultra's AMOLED panel is not only brighter than the competition, making it ideal for outdoor viewing, it delivers better color saturation.The S Pen is better: By reducing the latency by 70%, writing and drawing on the Galaxy S22 Ultra feels as smooth as pen and paper. And there's a holster built in.Better photos (especially in low light): Thanks to a bigger main sensor, the Galaxy S22 Ultra delivers brighter pictures than the S21 Ultra, and the Night Mode works even better than the iPhone 13 Pro Max in certain scenarios.Longer support: Samsung is promising five years of update support and four years of major OS updates, so this flagship should be able to last you a long time.Sleek and durable design: The Galaxy S22 Ultra is protected by an armor aluminum frame and Gorilla Glass Victus+ back, and yet it's lighter than the iPhone 13 Pro Max without a lame notch. Some may not dig the curved display, though.45W charging is fast (but not that fast): The phone got to 67% in 30 minutes, which is not that much faster than 25W (58%).",5.0 out of 5 stars,Reviewed in India on 6 April 2022,10
The Whole package,Great. Period.,5.0 out of 5 stars,Reviewed in India on 28 March 2022,10
A fantastic top tier Smartphone,"I was in a dilemma before purchasing the S22 Ultra, whether to buy the samsung or to go for the iPhone 13 Pro. I was not a big fan of the Apple's walled Garden approach to their ecosystem and not a big fan of iOS either but during a short period of use i really liked the iPhone 13Pro. But i loved the Android, its flexibility and Samsungs extremely customizable One UI. So i took a leap of faith and pre-ordered the Ultra. And until now from the minute i unboxed this beast of a Phone (the charger situation aside), it never disappointed me. Perfomace is superb, cameras are outstanding, low light performance of the cameras are out of the world. Battery life is more than enough. One UI is beautiful , fluent and buttery smooth. Speakers are fantastic. I did not find any issue of overheating even after heavy sessions of gaming. But the phone gets a little warm. Thats all. Okay...! Now some of the Cons1. I am coming from a OnePlus 6, and when comparing with that phone, this one is heavy.2. Some pre-installed Samsung apps have all the permissions and notifications allowed which we cant change, uninstall or disable.3. When it comes to Video recording, Samsung still cant beat its Notched Rivals. They still outclass the Ultra by a huge margin.4. Another annoying thing. Long press of the power button wakes Bixby up by default. Although we can disable bixby, samsung wont allow us to set it to summon the Google assistant.If samsung keeps its promise of 4 years of major updates and 5 years of security patches for its top end phones, one can use this phone for more that 3 years easily if you have a habbit of holding on to a phone for that long. And i am Super satisfied with my decision to purchase this phone.",5.0 out of 5 stars,Reviewed in India on 1 April 2022,10
Best Smartphone,"This is the best Smartphone in this prise compare to iPhone 13 pro max,Camera and processor amazing.I have purchased first time 1 lakh above range phone but after using days I wright this reviews.",4.0 out of 5 stars,Reviewed in India on 28 March 2022,6
Pure beauty & the beast. loving it...,Pure beauty & the beast. loving it...,5.0 out of 5 stars,Reviewed in India on 28 March 2022,6
Impressive,"Display is the best thing about the phone. Bright, Vivid and Smooth. Camera is crazy good. Battery Life is Ok. Software is also a joy to use. The S-pen is very Useful for me. Performance is good and there is little bit of heating.",4.0 out of 5 stars,Reviewed in India on 15 March 2022,6
Just a hyped product,I'm not satisfied <U+0001F612>. Battery life is below average. Camera is also average.My galaxy S20 fe 5G is much better. Don't recommend to upgrade it.<U+0001F494><U+0001F494><U+0001F494>Fingerprint reader is lousy.,2.0 out of 5 stars,Reviewed in India on 22 March 2022,6
Camera Beast with best android experience,"One of the best camera phone i have ever used or liked.Zoom is outstanding and it has become the new benchmark of zooming in a phone.108mp images are very crisp and detailed, selfies are also very crisp.Portrait mode is better than many DSLR and this is unbelievable.Charging time is around 60min which is good if it is helping in managing battery health.Display is one of the best you can get in 2022. The colors are mind blowing and brightness is again top-notch.Day to day life performance is very snappy.A true flagship.This is not a smartphone-- This is a benchmark.",5.0 out of 5 stars,Reviewed in India on 6 April 2022,6
The Ultra for the power user,Excellent build quality. Finally Samsung has outdone themselves. Snappy phone. The S pen makes so many things faster. Had no trouble switching from my S20 with the smart switch app. Lasts the whole day with about 3 hours of gaming. Samsung should have retained the micro sd card slot though. That's the only thing missing.,5.0 out of 5 stars,Reviewed in India on 5 April 2022,6
Mobile Heating issue,Mobile is heating too much everytime I use camera... other people who have ordered this mobile also facing exact same issue.Also battery is getting drained quickly everytime you use camera. Worst performance from a mobile at this range.,1.0 out of 5 stars,Reviewed in India on 26 March 2022,6
"Beast in power, display and camera","One of the best smartphone to buy. Excellent display and mind blowing camera with fastest chip I.e. snapdragon 8 gen 1. S22 ultra is perfect from all ends and can go for buying it. Finger print reader is very fast, battery is also better giving 1 day life with moderate usage. Overall a very good phone to buy.",5.0 out of 5 stars,Reviewed in India on 28 March 2022,6
Best of the best.,"The phone is a beast no questions asked. It worth the every penny you spend. Everything is above the scale:- fast, Snappy.Design is what stood out the most for me though its not much of a difference from it predeccssor still its feels out of the box to hold.Performance is as it should be, best in the game, With Snapdragon 8 gen 1 processor there is alot of a talk about heating however there is no such case with this phone. No matter how heavy user you are or how intense gaming you do this phone handles it all with a ease.Camera:- When i purchased this phone i was really looking forward to experience the camera it offers, If you compare this with best in market iphone 13 pro max, then you wont be disappointed, it offers similar camera quality or in some conditions even better. The dynamic range, saturation, portrait shots all are excellenet in day light. Its nightography function is also extremely good. Talking about video capabilities it offers 8k at 30fps and all other similar in market, its VDIS and OIS feature does make your video rich, steady with prefect light balance. Just like its predecssor this also offers superzoom 100x But all i can add is till 30x its perfectly good after that samsung needs to work on it. Perhaps in next 4-5 years we might be able to have 100x as clear as 30x zoom feature.S Pen:- latency has been reduced to 2.8s which is the super best i can say and also the air gestures is quite fun to use and you can do quite alot with your spen like signing your pdf document on your phone itself without worrying about to get a copy and then signing it. Using S pen also gets the premium vibe to you in day to day uses it feels bossy.Battery life:- its Good can be better on day to day heavy uses it gets 7-8 hours of screen on time which i feel is already good but its competitor 13 pro max has much better battery compare to it. That generally offers 10 -11 hours of uses which is insane. I would ask samsung to focus on its battery this will generally lead to out perform even apple.Everything else is the best no competition design, performance, One UI, camera, S pen and display. This is phone of the year",5.0 out of 5 stars,Reviewed in India on 30 March 2022,6
My Dream Phone,Camera 10/10Battery 9/10Look 10/10,5.0 out of 5 stars,Reviewed in India on 28 March 2022,6
DO NOT PURCHASE FROM AMAZON,"Purchased phone from amazon as they advertised it as being part of the Samsung promotion for free buds.Submitted claim within 24 hours of delivery of phone, complete with Amazon invoice.Samsung are refusing to honour the free buds offer because the purchase cannot be ""verified"" despite providing clear documentation and proof of purchase.",1.0 out of 5 stars,Reviewed in the United Kingdom on 9 March 2022,1
Terrible device - avoid like the plague,Awful device only out competed by Samsungs horrible customer service system,1.0 out of 5 stars,Reviewed in the United Kingdom on 2 April 2022,1
Pure power,"I have had this phone for a few weeks now. In my opinion it is a great phone.Benefits:The display is huge and bright. The best that I have seen on a phone.The phone feels like it is made of the highest quality material. It feels premium. In my opinion,it is a thing of beauty.The speakers are pretty loud with good quality.The call quality can be excellent.The version that I have has the exynos 2022 processor. It is fast and has handled everything that I have thrown at it with no problems or slowdown. It's a powerful multitasking beast. Apps like Instagram, Facebook and Twitter run smoothly on the device. I also have an s22 backup phone that is equipped with an Snapdragon processor; I have not noticed any difference in performance between them.The battery life of the phone has steadily improved as it has learned my routines. Initially I was getting less than a day of use from the battery before having to recharge. Now it is lasting two days before having to recharge.I don't use the S-pen so I can't say much about it.The camera is pretty great. It takes great quality photographs.The fingerprint reader works flawlessly. I had no issues with it.Weaknesses:The phone is heavy. It took me a few days to get use to its weight.The camera array picks up dust easily and it looks like it wouldn't take too much punishment, a lens protector is a must.The phone is not a massive improvement over the s22 ultra.Conclusion:I would highly recommend this phone.",5.0 out of 5 stars,Reviewed in the United Kingdom on 24 March 2022,1
Love the S22 Ultra,"I have a Samsung Z fold 3 and that has just been a nightmare phone! It's had to go back to Samsung twice now for repairs. The hinge went, the screen broke and the screen protector cracked and lifted. I've only had that phone since September last year. I was at the stage where i was terrified to keep using it. Also the battery life was horrendous!! I have had all 3 fold phones and none of them were great! You think i would have learnt my lesson...As a result i decided to buy the S22 Ultra in burgundy. The phone itself is great. Decent weight, decent screen, and the usual Samsung bloat wear! Having used the phone for 2 days the battery life seems very good, unlike the fold phones!Overall I'm depressed I've had to spend another serious load of cash on another phone, but equally i do really love the handset.Also i have been able to claim the galaxy pro buds via this purchase. For those who have struggled with this claim the Samsung terms state that the phone much be sold/dispatched by Amazon and not a 3rd party seller. My phone was sold and despatched by Amazon so the claim went through in less than 24hrs.",5.0 out of 5 stars,Reviewed in the United Kingdom on 30 March 2022,1
"[Not recommended] Disappointing, slow upgrade from Note 10+ with too many software issues","PRODUCT: 2022 Samsung Galaxy S22 Ultra (dual SIM, 512GB)USE CASE: replace 2019 Samsung Galaxy Note 10+ (dual SIM, 256GB)Who am I? A die hard Android user since 2012 (also had Samsung Bada in 2011) whose last truly exciting phone was the Samsung Galaxy Note 4 (removable battery, flat screen)VERTICTDo not buy this phone unless price drops to say 800GBP because there are way too many software issues that may or may not be fixed by Samsung in the next 12 months.PROs+ Good screen+ Good speakers+ Good build quality+ 5G+ Useful pen when you need it around 1/month or want to impress strangers+ Depressing: fewer software issues than 2022 Google Pixel 6 series+ Makes the Apple iPhone Pro Max (1350GBP, 5122GB) more attractiveCONs- Actually worse than my Note 10+- Lots of software issues, stuttering, lag, bugs and crashes on a new 1200GBP phone: alpha stage software not optimised. Slow switching between apps. Jittery scrolling- Updates make your phone slower and cause issues with Play Store: unable to update or even install apps. 5-10h time consuming phone reset needed after every major Android/Samsung update that breaks something- No larger size available: I want 7""+ without folding it- Still not a flat screen- Camera: nowhere near as good in video as iPhone Pro- Battery: average at best and 22% worse than iPhone Pro Max and only 8% better than 2019 Note 10+- Fingerprint sensor: still unreliable, albeit a bit faster- Poor value",1.0 out of 5 stars,Reviewed in the United Kingdom on 22 March 2022,1
Warning S22 Samsung mobile,"They are offering Disney plus free for 12 months as a promotion but after several attempts of trying to get this promotion it just keeps coming up with ""this promotion isn't available"" I've got my S22 today I followed all the steps but will not work, other people on the forums are having problems too, so be aware, it has left a very bitter taste in my mouth because it was one of the reasons that I got a new Samsung S22. Instead of enjoying my new phone and watching Disney plus I'm left frustrated and angry at Samsung.",1.0 out of 5 stars,Reviewed in the United Kingdom on 24 March 2022,1
S22 5G Good upgrade from S10e,"Bought direct from Samsung as Amazon were out of stock, first impressions were that the phone was a lot bigger than my S10e but having used it for a week it's not a problem.Great phone, fast processore, good battery life, am on day 3 since last charge, still has 27% after reasonable usage. The screen is excellent and the extra size compared to the S10e is actually quite welcome.The only weakness is the fingerprint reader, which is unreliable at best. Most of the time I have to touch and hold the screen for a couple of seconds to then get told my fingerprint is not recognised. Also be careful with 9H glass screen protectors, have tried 2 different brands and neither worked, why couldn't Samsung stick with a physical reader.Overall I am very pleased with the phone, I went for the 256gb model as there is no SD Card slot, but you can put two SIM cards in it. I took advantage of the trade in program and got £300 off the price with an additional discount.",5.0 out of 5 stars,Reviewed in the United Kingdom on 7 April 2022,1
"Great phone, better camera.",Only had it a week but by far the best phone I have owned,4.0 out of 5 stars,Reviewed in the United Kingdom on 2 April 2022,1
Good phone,"Good - not great. This is coming from someone who previously had the S9. As a long time Galaxy user the S9 is arguably the best phone in the Galaxy run. It was hard to part from it, when all that was wrong was its cracked screen. But I did, and opted for the S22 this year. From inspection of other friends S21 it's not that different. However its perhaps cosmetically smoother and rounder in shape. In terms of what you can do with it - i've yet to explore or notice anything substantially appealing. I bought this because I love taking photos and so this or the S20 were on my list. This won out because its newer and not much in the way of price.",4.0 out of 5 stars,Reviewed in the United Kingdom on 6 April 2022,1
Not much difference between the s21 ultra,This has to be the worst device ive ever owned. Sent it back for the following reasons1. Slow and unresponsive all the time2. Crappy battery life3. Freezing apps and slow animationsI have been on to samsung support about these issues and basically told to wait for software updates.im not prepared to wait months on end hoping for each update to fix the issuessent this back and went for the Oppo Find X5 Pro,3.0 out of 5 stars,Reviewed in the United Kingdom on 11 March 2022,1
